time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range
10240,5,250,4.93,40,23.4833332,0.0003,40,62.569281208515164,2.2649765014648438e-06,0.53203125,-4.751775124669075,-0.0595662530104164,0.022879485,33.348602294921875,0.2
12288,6,264,4.85,46,25.51999994,0.0003,50,71.05703884363174,5.304813385009766e-06,0.434326171875,-4.612214535474777,-0.04501377966444124,0.023553552,35.67026901245117,0.2
14336,7,255,4.91,56,28.94066658,0.0003,60,85.91764526367187,3.129243850708008e-05,0.32255859375,-4.474066838622093,-0.03386971869767876,0.019643886,40.02178192138672,0.2
16384,8,265,4.83,61,28.32266654000001,0.0003,70,94.48934888839722,1.1920928955078125e-06,0.296923828125,-4.3400989577174185,-0.029303373933362308,0.018899556,51.99830627441406,0.2
2048,1,289,4.93,7,13.52733325,0.0003,80,98.08362431526184,4.762411117553711e-05,0.325732421875,-4.246471427381039,-0.031088007081416437,0.01896422,47.43238830566406,0.2
4096,2,316,4.99,12,16.48133321,0.0003,10,30.667129778861998,0.00035512447357177734,0.483984375,-5.184419569373131,-0.06948949580546468,0.029079974,17.02533721923828,0.2
6144,3,251,4.85,24,18.08733325,0.0003,20,42.06749492287636,2.205371856689453e-06,0.47412109375,-5.116290393471718,-0.06093086015025619,0.026002511,21.76055145263672,0.2
8192,4,270,4.88,30,21.143333249999998,0.0003,30,56.204711771011354,4.172325134277344e-07,0.520556640625,-5.015269799530506,-0.061122415337013083,0.026031451,23.029151916503906,0.2
10240,5,242,4.91,42,25.20999987,0.0003,40,65.00024795532227,1.1920928955078125e-07,0.531982421875,-4.886920289695263,-0.05903394193155691,0.025627572,30.439064025878906,0.2
12288,6,228,4.84,53,25.819999929999998,0.0003,50,77.52670875787734,0.0,0.381884765625,-4.759304110705853,-0.04541651955951238,0.022848805,37.96404266357422,0.2
14336,7,240,4.83,59,26.215333269999995,0.0003,60,85.40716397762299,1.7881393432617188e-07,0.380615234375,-4.614841042459011,-0.03983353923831601,0.020014517,39.4219970703125,0.2
16384,8,230,4.72,71,27.317999909999997,0.0003,70,93.8445873260498,5.960464477539063e-08,0.29873046875,-4.5059113711118695,-0.03339831601770129,0.018062271,48.42721176147461,0.2
2048,1,304,4.96,6,12.90666659,0.0003,80,102.19483349323272,5.960464477539063e-08,0.321826171875,-4.405111712217331,-0.032388820724736436,0.017762389,49.29480743408203,0.2
4096,2,323,4.96,12,16.23266651,0.0003,10,29.734188395738602,-0.0001035928726196289,0.479541015625,-5.254582910239696,-0.07102750161720905,0.03546731,14.798691749572754,0.2
6144,3,249,4.96,24,19.37133326,0.0003,20,43.537531942129135,-3.5881996154785156e-05,0.53681640625,-5.172122463583946,-0.06737118539167568,0.02880454,24.637142181396484,0.2
8192,4,268,4.98,30,22.18799987000001,0.0003,30,56.9011803150177,2.1755695343017578e-05,0.47412109375,-5.06263552904129,-0.05543779189174529,0.0225663,23.29128074645996,0.2
10240,5,241,4.96,42,24.06666654,0.0003,40,62.666045820713045,1.8417835235595703e-05,0.4517578125,-4.935750877857208,-0.05061005847092019,0.021906335,31.540170669555664,0.2
12288,6,224,4.89,54,26.69933323,0.0003,50,73.81368298530579,1.341104507446289e-05,0.406298828125,-4.798637056350708,-0.04566392567066942,0.021589797,39.21367645263672,0.2
14336,7,236,4.93,60,28.27599985000001,0.0003,60,82.69535651206971,1.919269561767578e-05,0.35634765625,-4.664458438754082,-0.038487576763145626,0.020419214,34.63106155395508,0.2
16384,8,226,4.76,72,26.717333199999995,0.0003,70,90.82817039489746,0.00031810998916625977,0.35244140625,-4.549351224303246,-0.03654132943775039,0.019541688,46.56087875366211,0.2
2048,1,420,4.92,4,12.72866661,0.0003,80,100.87103371620178,0.0014331936836242676,0.24052734375,-4.449249994754791,-0.034917810326442124,0.015733585,44.580665588378906,0.2
4096,2,376,5.0,10,15.746666600000001,0.0003,10,28.672647443413734,-7.677078247070312e-05,0.454052734375,-5.318742950260639,-0.06428511159901973,0.03246765,15.732708930969238,0.2
6144,3,270,4.89,22,18.75466658,0.0003,20,41.702315253019336,6.020069122314453e-05,0.5435546875,-5.21947468817234,-0.07101889529731124,0.029822968,24.715349197387695,0.2
8192,4,243,4.94,33,21.677999869999997,0.0003,30,55.03906813263893,3.260374069213867e-05,0.511865234375,-5.121989278495311,-0.05859059843060095,0.025889736,29.595043182373047,0.2
10240,5,257,4.89,39,23.881999930000003,0.0003,40,63.8742537856102,1.5497207641601562e-06,0.476611328125,-4.991807566583157,-0.05289685938405455,0.024191514,28.797903060913086,0.2
